,Species,Pinus/Strobus,pathogenic,position,Lips,Lip color,Apothecia (mm) average,Apothecia_length_min_mm,Apothecia_length_max_mm,Asci (um) average,Ascus_length_min_um,Ascus_length_max_um,Ascus_width_min_um,Ascus_width_max_um,Ascospores (um) average,Ascospore_length_min_um,Ascospore_length_max_um,First geographic habitat,First host species,Details,Zone lines around ascomata,Pigmented basal wall of ascocarp,Basal wall thickness of ascocarp,Basal stroma ascocarp,Ascocarp splitting open along a line of/position ,Ascocarp color,Conidiomata,Conidiomata position,Conidia shape,Conidia size ,Conidiomata basal wall,Other conidiomata details,Cultures,Herbarium deposits,Other regions this species is found,GPS coordinate,Host description/Type of host,Symptomatic needles ,Paraphyses,Similarities to/Differences from other species,Other details,Included in current study phylogeny,Available data for type,Publication,Year named
32,L. puerense,Pinus,,subepidermal,present,"Hyaline, often invisible from the surface.",350–600 μm,0.35,0.6,70–115 × 10–14 µm,70,115,10,14,60–90 × 1–1.5 µm,60,90,China,P. yunnanensis,"Ascomata mostly on the abaxial side of secondary needles. In surface view ascomata 350–600 µm, more or less orbicular, grey to dark grey, strongly raising above the surface of the substrate, opening by a single longitudinal split. Lips present, hyaline, often invisible from the surface, split extending along about 3/4 of the entire length of the ascomata, perimeter line inconspicuous. In median vertical section ascomata subepidermal, 170–210 µm deep, covering stroma up to 30–50 µm thick near the centre of the ascomata, thinner towards the edges and only extending along half to 2/3 the covering stroma, consisting of thick-walled textura angularis with cells of 3–5 µm diam., the first layer of hypodermal cells usually degraded, 2–4 incomplete hypodermal cells still present in the covering stroma. Lip cells hyaline, 10–25 × 3–4 µm, mostly with one septum. Basal stroma flat, poorly developed, invisible, with some brown hyphae invading into degraded host cells underneath the subhymenium. Subhymenium 8-10 µm thick, hyaline, composed of 2–3 layers of small pseudoparenchymatous cells. Paraphyses 100–125 × 1–1.5 µm, filiform, not branched, septate, swollen at the apex. Asci ripening sequentially, 70–115 × 10–14 µm, cylindrical-clavate, short stalked, thin-walled, J–, acute at the apex, without circumapical thickening, 8-spored. Ascospores fasciculate, 60–90 × 1–1.5 µm, hyaline, aseptate, with a 2–3 µm thick gelatinous sheath.",absent,N/A,N/A,"flat, poorly developed, invisible, with some brown hyphae invading into degraded host cells underneath the subhymenium",epidermal cells,Grey to dark grey,Absent,,N/A,N/A,N/A,,No information.,N/A,N/A,"22.8251° N, 100.9665° E",On needles that are still attached to twigs or fallen in litter.,On needles that are still attached to twigs or fallen in litter.,"Paraphyses 100–125 × 1–1.5 μm, filiform, not branched, septate, swollen at the apex.","Similar to L. orientale and L. pini-pumilae but differs by the shape of the ascomata, presence of lip cells, the incomplete hypodermal cells present int he covering stroma, and the host relationship.    By its subepidermal ascomata, Lophodermium puerense is somewhat similar to L. orientale Minter and L. pini-pumilae Sawada on five-needle pines (Minter 1981). However, L. puerense occurs on 2–3-needle pines and has conspicuous lip cells, while L. orientale and L. pini-pumilae lack lip cells. The shapes of ascomata differ among these three species. The ascomata are almost orbicular in L. puerense, while they are long elongate-elliptical in L .pini-pumilae and have a poorly marked, irregular outline in L. orientale. Furthermore, in L. puerense 2–4 incomplete hypodermal cells are present in the covering stroma. L. puerense often occurs together with L. conigenum (Brunaud) Hilitzer on the same needles.",Often occurs together with L. conigenum Hilitzer on the same needles.,Yes,"ITS, ACT",Hou & Piepenbring. Mycotaxon 107: 259-262,2009
36,L. resinosum,Pinus,,subepidermal,present,grey to black lips,"(500–)600–950(–1100)μm×
300–500(–600)μm,",0.5,1.1,"Asci (120–)125–150(–165) μm × 11–14(–16) μm, cylindrical
to clavate-cylindrical, apex rounded to subpapillate, more
or less sessile, inamyloid, 8-spored, thin-walled, maturing
sequentially.",120,165,11,16,"(83.5–)104.5–125.5(–133.5) μm ×
2–2.5(–3) μm (length: n = 54, x¯ = 115 μm, SD = 10.5 μm, SE = 1.43 μm, 95% CI = 2.79; width: n = 54 !m, x¯ = 2.5 μm,
SD = 0.2 μm, SE = 0.03 μm, 95% CI = 0.05)",,,"Ontario, Canada",P. resinosa,"scattered, occasionally coalescing,
elliptical, shiny, black, margin paler,","Infected needles rarely exhibiting black zone lines, instead frequently having red bands 100–400 um wide",N/A,N/A,"dark brown, concave, occurring within host epidermal cells, poorly developed, consisting of textural angularis to textura epidermoidea, cells 2.5–4 um in diameter, thin- to thick-walled",epidermal cells,"scattered, occasionally coalescing, elliptical, shiny, black, margin paler, opening by a longitudinal fissure with grey to black lips",present,"adaxial, subepidermal","oblong, ends rounded and sometimes broadly tapered at base, straight, hyaline, smooth-walled, exuded in slimy pale to buff mass from. irregular rupture. in covering host epidermis ",(3.5–)4.5–6(–8) !m × 1–1.5 !m,N/A,"mostly on adaxial and less frequently abaxial surfaces of needles, subepidermal, co-occurring with ascomata, scattered to crowded or coalescing, appearing as flat to raised, irregularly oval to elliptical, blister-like swellings on tissue, dull to shiny, concolorous or paler than surrounding host tissue, becoming darker with age, margin often brown or dark brown, 300–500(–800) um × (100–)150–300 um, opening by lateral fissures","Colony description based on DAOMC 251482 at 20 °C after 14 days in the dark: 12–15 mm in diameter; planar with sparse to moderate aerial hyphae; margin diffuse and hyaline; surface hyaline to pale orange to greyish orange (5A3–5B4); reverse orange grey to greyish orange (5B2–5B3). Exudates and soluble pigments absent. Conidiomata sometimes forming within 4 weeks, occurring singly, scattered, on agar surface or submerged, morphologically different from conidiomata on host, up to 1 mm in diameter, dark brown to black, globose, with conidia dimensions same as those from host.","Dried specimens were accessioned in, and supplementary preserved specimens were obtained from, the Canadian National Mycological Herbarium (Ottawa, Ont.; DAOM). Living cultures were deposited in the Canadian Collection of Fungal Cultures","Canada: Ontario, Quebec, Nova Scotia; USA: Maine","45.5509° N, 75.2804° W",fallen secondary needles of Pinus resinosa,,"septate, filiform, unbranched, hyaline, smooth-walled, covered in 1–2 ""m thick gelatinous sheath that frequently appears discontinuous and granular with maturity, 4–5.5 ""m thick at base, tapering to 2.5 ""m, apices rounded to irregularly subclavate, as long as mature asci, connected at base by hyphal bridges","Morphologically similar to Lophodermium seditiosum, but with smaller ascomata, covering stroma that extends as far as the basal wall, inostiolate conidiomata, and an ITS sequence distinct from L. seditiosum ex-type (ATCC 28345).","filiform, ends rounded, tapered towards base, hyaline, contents sometimes appearing granular, smooth-walled, covered by a well-developed, more or less uniform, 1.5–2(–2.5) μm thick gelatinous sheath that appears denser and bulbous at both ends, sheath (3–)4–5(–5.5) μm thick at the apex and (2–)2.5–4(–4.5) μm thick at the base, arranged parallel or sometimes helically coiled.",,,Tanney & Seifert. Canadian Journal of Botany 95: 773-784,2017
9,L. pini-excelsae,Strobus,,partially subepidermal,present,grey,300-800um,0.3,0.8,80-130 x 10-12 um,80,130,10,12,50-70 x 2 um,50,70,Pakistan,P. excelsa,well developed basal wall,"absent or black, rare",well to poorly developed,N/A,N/A,epidermal cells,black with a dark grey surround and black perimeter line,present,subepidermal,rod shaped,4.5-6.25 x 1 um,N/A,,Indistinguishable from cultures of L. pinastri. ,N/A ,"Asian: India, Japan, West Pakistan. Europe: Belgium, Great Britain, Ireland. North America: Canada (Ontario).","33.9070° N, 73.3943° E",,,"rare, filiform mucus sheath. tips variable, usually straight and unswollen. ",,,,unknown,Ahmad. Sydowia 8: 172-173,1954
10,Meloderma desmazieri,Strobus,pathogenic,partially subepidermal,present,colorless,500-1000 um long,0.5,1,"100-150 um long, 14-17 um wide",100,150,14,17,"rod shaped, 25-40 um long, 4 um wide",25,40,Canada,P. strobus,"Ascocarps predominantly on abaxial surface of needles, when wet black, when dry black in the centre for more than a quarter of the total ascocarp surface, the remainder grey surrounded by a black line, 500-1000 µm long, covered by the hostepidermis on either side, but above the epidermis in the centre. in mid-point transverse section less than six epidermal cells can be seen grouped in a line on the ascocarp base; not accompanied by stromatic lines across the needles; lips colourless. Hysterotheicia elliptical, often in a row",N/A (Darker 1967),"variable in color, as mentioned above,
apparently depending somewhat on the depth of insertion in the host tissue",N/A (Darker 1967),basal layer plectenchymatous,N/A (Darker 1967),"black, but typically surrounded by a grayish zone",N/A (Darker 1967),N/A (Darker 1967),N/A (Darker 1967),N/A (Darker 1967),N/A (Darker 1967),,N/A (Darker 1967),N/A (Darker 1967),,N/A (Darker 1967),,,"at first simple, filiform, at length hooked, s\vollen, somewhat
branched at tip",,"Hysterothecia elliptical, often in a row, black but typically surrounded by agrayish zone, subepidermal, but subcuticular near the lips; lips colorless with arow of outer swollen cells; dark covering layer pseudoparenchymatous, thin a tmargins; basal layer plectenchymatous; hynlenium flat; asci subcylindrical;paraphyses at first simple, filiform, at length hooked, s\vollen, somewhatbranched at tip; ascospores rod-lilte, so~nemhat clavate to fusiform, withgelatinous envelope. Pycnidia simple, flat.",,unknown (NA as of 2016),Darker. Canadian Journal of Botany 45 (8): 1429,1967
21,L. parasiticum,Strobus,pathogenic,partially subepidermal,present,Colorless or with a hint of green,0.5-0.7 x 1-1.8mm,1,1.8,113-170 x 14-18 um,113,170,14,18,98-122 x 2 um,98,122,China,P. koraiensis,"Ascocarps on the secondary needles. Scattered, primarily isolated. Oval. Buldge on the needle's surface. Asci cylindrical. Ascopores 8 in a line, colorless, parallel.",If lines are present they are brown and thick,N/A,N/A,N/A,N/a,N/A,Present,Partially subepidermis,circular shape.,N/A,N/A,barely bulge above the epidermis. Light grey. Not well developed.,N/A,Fungal Specimen Room of Northeast Forestry University,,"47.1216° N, 128.7382° E","Parasitic on the secondary neeles of P. koraiensis from Shibuhezi Forest Farm, Yabuli Forestry Bureau of Heilongjiang Province",,"Straight, enlarged at the tip.","Similar to L. conigenum. Difference is L. parasiticum is present on the secondary needle of P. koraiensis. Specifically the upper half of the needle. or in the prematurely fallen needles, causing needle drop disease. L. conigenum is mostly on needles of 双维松 (P. sylvestris?)'s dead branches.",,,unknown (NA as of 2016),"He, Yang, & Qi. Acta Mycol. Sin 5 (2): 71-74",1986
30,L. macci,Strobus,,partially subepidermal,present,discrete dark lips,500-900 um (average 600 um),0.5,0.9,70-100 x 7-8 um,70,100,7,8,"Ascospores 55-80 X 2 um, filiform, ar- ranged in fascicles, sometimes helically coiled, slightly tapering toward the base, hyaline, aseptate",55,80,"Quebec, Canada",P. strobus,"(not more than 4, usually 2-3 host epidermal cells extending on clypeus) bent, swollen septate, very rare paraphyses",absent ,poorly developed,N/A,N/A,epidermal cells,"shiny and black in the center, with a gray margin and a black perimeter line making a clearly marked outline, usually elliptic, sometimes round, raising the surface of the needle",absent,,,,,,"Isolated, single ascospores not germinating (21 C, daylight), germination obtained from groups of ascospores; isolates on MA slow growing (less than 3 mm/d), never reaching the edge of the 9 cm diam Petri dish, usually cream with some small brown or black spots (sclerotium 25–50 mm), irregular, farinaceous, thin, no black lines","Specimens are deposited in the Herbarium of the College of Life Science, Capital Normal University (BJTC), and live cultures are deposited in the culture collection of the College of Life Science, Capital Normal University (CNU)",N/A,"46.9376° N, 71.4702° W","Lophodermium macci has been observed
only in collections from Canada and the United States from secondary needles of haploxylon (five-needle) pines, sporulating on fallen senesced needles that have overwintered in the litter. Lophodermium macci never has been observed on needles attached to the tree or has it been recovered as a foliar endophyte.",,"bent, swollen septate, very rare","It is similar in its morphology, habitat, geographic range and ecology to L. pini-excelsae, L. staleyi and L. nitens and often is misidentified as L. pinastri on Pinus strobus in herbaria.",,Yes,"ITS, ACT","Sokolski, Piche, & Berube. Mycologia, 96 (6): 1261-1267",2004
24,L. pini-bungeanae,Strobus,,"partially subepidermal, few are subcuticular",present,brown,420-900 x 240-430 um,0.42,0.9,77-122 x 10-14 um,77,122,10,14,62-93 x 2 um,62,93,China,P. bungeanae,"Present on all side of the needle, mostly scattered. Few connects vertically or horizontally. Oval shape and slightly pointed at both ends. Split when matured in a triangular fashion. Often more than one epidermal cell is burried in the clypeus. 8-12 epidermal cells scattered in the apothecium base. Clypeus does not extend to the drak brown basal wall line. 8 ascorpores in a line, colorless. Arragned in parallel or intertwined in the sac.",Ocassionally have thin black lines,Dark brown,N/A,N/A,Vertical splitting when matured in a triagular fashion.,"Large surface. Black in the center, gray brown on the sides. Significant black perimeter line.",Present,subepidermal,rod shape,4.0-6.5 x 1 μm,N/A,"Subepidermal. yellowish brown to blackish brown. black perimeters. inbetween ciruclar and oval. More than 1 or 2 splitting sites. Sometimes 1-2 large splits at the top.
Conidia colorless",N/A,"Department of Forestry, Anhui Agricultural College.",,"30.6007° N, 117.9249° E","parasitic on the secondary needles of pinus bungeana. Causing needle drop disease. apothecium and condiomatas are produced on withered, fallen needles and yet to fallen needles. ",," straight, enlarged at the top. ","Similar to L. molitoris, difference being the clypeus does not extend to the basal wall line, lip cells are brown, lateral filliments enlarged at the top, condiomata are subepidermal. Causes one dimensional pine needle disease.

 Also similar to L. conigeum, but the size of the apothecium is less than 1/2 of the latter, Zone lines are thin black. Very slow colony growth on wort agar",,,ITS,Lin & Tang. Acta Mycol. Sin 7 (3): 129-137,1988
6,L. durilabrum,Strobus,,partially subhypodermal,absent,,880-1750 um long,0.88,1.75,110-130 x 8-9 um,110,130,8,9,90-105 x 2 um,90,105,Oregon,P. monticola,"centrally sub-hypodermal, black to dark grey ascocarps with a paler brownish central band and a perimeter line",absent,poorly developed and sometimes only visible only in the centre,N/A,N/A,epidermal cells,"black to dark grey, with a paler brownish central band and a perimeter line",absent,N/A,N/A,N/A,N/A,,No information. ,N/A,"California, Wisconsin","45.5605° N, 121.6379° W",,,tips straight and not or only slightly swollen,,,,unknown,Darker. Contr. Arnold Arb. 1: 62,1932
25,L. ellipticum,Strobus,,partially subhypodermal,absent or inconspicuous,,580-990 x 350-530 um,0.58,0.99,80-115 x 10-13 um,80,115,10,13,42-81 x 2 um,42,81,China,P. armandii,Ascocarps mostly at the far axis of the needle. Scattered. Asci mature in succession. 8 ascoporesm colorless.,Absent ,"Dark brown, underdeveloped.",35-50μm,N/A,"When matured, split vertically from the middle","The middle part (more than 50% of surface) is black, outer part is grey. Often with a greyish black boarder. Slightly raised.",Present,Subcuticular.,Rod,4.5-8.0 x 1 μm,Blackish brown. Spread over the entire conidiomata,On all sides of the needle but mostly on the far axis. Scattered or sometimes in couples. Brown to greyish black. One to few puncture opening or irregular fissure.,N/A,"Department of Forest Protection, Department of Forestry, Anhui Agricultural College.",,"47.1216° N, 128.7382° E",On the fallen secondary needles of P. armandi Franch.,,Fiber like. Length 95-120μm width 1.5μm. Hooked shape at the end or sometimes enlarged at the end.,"Similar to L. indianum Singh & Minter. Difference being the ascocorp is larger and the middle is black. No lip cells, presence of conidiomata, no zone lines. Also similar to L. australe but ascocarps are eplliptical or broadly elliptical and have weakly developed dark brown basal walls and the conidiomata is subcuticular.","Ascopore partially subhyopdermal, 150-210μm deep. Many hypodermal cells moved to the base. More than 4 epidermal cells scattered above the hypodermal layer, in groups or separate.
Asci cylindrical, pointed at the top,",,unknown (NA as of 2016),"Lin, Liu, & Tang. Acta Mycol. Sin 11 (4): 279-284",1992
29,L. confluens ,Strobus,pathogenic,subculticular,absent,,280-570 um long,0.28,0.57,80-120 x 16-22 um,80,120,16,22,55-90 x 2-2.5 um,55,90,China,P. armandii,"Ascomata often confluent along needles, almostnervisequious, asci broadly cylindric",Absent ,N/A,N/A,N/A,epidermal cells,"black and slightly shiny, the edges are not obvious",absent,,,,,,N/A,"Department of Forest Protection, Department of Forestry, Anhui Agricultural College.",,"Shanxi: 35.3940° N, 109.1880° E. Zhenan: 40.1583° N, 124.4282° E",,,"simple, slender, filiform",,,Yes,"ITS, ACT",Liu & Qiu. Acta Mycological Sinica 14 (2): 101-103,1995
7,L. nitens,Strobus,,subcuticular,absent,,600-850,0.6,0.85,95-135 x 11-13,95,135,11,13,80-120 x 2-3,80,120,"Ontario, Canada",P. strobus,"shiny, dark","black, usually abundant",present ,N/A,N/A,epidermal cells,"shiny, black whether wet or dry, with a clearly marked outline",present,subcuticular,rod shaped,6-9 x 1 um,N/A,,No information,N/A ,"North America: Canada (British Columbia, Nova Scotia, Ontario), United States (California, Idaho, Maine, Massachusetts, Michigan, New Hampshire, Oregon, Pennsylvania, Washington) ","47.0634° N, 79.7896° W",probably fruits saprophytically on fallen senesced needles which have ocerwintered in the litter,,tips hooked and slightly swollen ,,,,unknown,Darker. Contr. Arnold Arb. 1: 74,1932
37,L. fissuratum,Strobus,,subcuticular,absent,,720–1160 x ~ 400–550 μm,0.72,1.16,"Asci unitunicate, 88–101 × 10–11 μm, maturing asynchronously,
clavate, rostriform, conspicuous stalk, eight
spores arranged in fascicles",88,101,10,11,"140–160× 1–2 μm, hyaline, filiform, sometimes coiled within theascus, enveloped in a gelatinous sheath, with one or twogermination points.",140,160,California,P. lambertiana,"Ascomata predominantly abaxial, hysteriaceous, elliptical, 720–1160 × 400–550 μm, black, shiny even when dry, raising the surface of needle substratum when mature. 
Asci unitunicate, maturing asynchronously, clavate, rostriform, consipcuous stalk, eight spores arranged in fasicles.","Many transverse zone lines along host needles, dark brown to black",Dark brown and thin,"formed by a single hyphae layer, covering the upper hemisphere of epidermal cells tightly, giving the
appearance of a dark, inverted saw","Covering stroma dark brown, composed of textura epidermoidea to textura angularis, continuous with the basal wall, extending at each side over a few epidermal cells (FIG. 4E), dark and thick, 36–54 μm wide near the opening slit, then slightly thinner, 19–26 μm, pale brown textura angularis, which tends to be lost in older ascomata, and dark and thick, 32–41 μm, near the base.",epidermal cells,"black, shiny even
when dry,",Present,Subcuticular,Hyaline filiform.,6-7 x 1 1μm,No basal wall,"Conidiomata circular to elliptical, 100–200 ×
100–180 μm, black, shiny, on both abaxial and adaxial
sides of pine needle, tending to coalesce, opening by
irregular tears on the surface.","Agar colonies highly variable. Growth slow, <50 mm diam in 3–5 wk, irregular in shape, from white (FIG. 5A, C, D), pinkish orange (FIG. 5B, G), bright yellow (FIG. 5E, I), to dark brown (FIG. 5F) or in combinations of colors (e.g.,FIG. 5G, H). Texture varies from smooth (FIG. 5E) to slightly cottony, forming either a continuous layer or spots (FIG. 5C, D) or globose protrusions of cottony tissue on the surface of the colony (FIG. 5D). Some strains formed a thick layer of stromatic smooth tissue on the surface of the colony (FIG.5E,F, H). Many colonies formed melanized tissue either in patches (FIG.5D), or in internal lines (FIG. 5H), or on the margins (FIG. 5E). No conidia were observed in these cultures.","National Herbarium of Mexico, Universidad Nacional Autónoma
de México, Distrito Federal, Ciudad Universitaria, Ciudad
de México","Northern California, Oregon,
Washington, and Idaho, USA.","41.84507N, 123.94624W,","Isolated from ascocarps developing on
senescent brown needles, also as endophytes from
healthy green needles of Pinus lambertiana and P. monticola. We suggest that L. fissuratum is not a pathogen because we did not observe any ascocarps of this species developing on green needles.",,"Paraphyses 80–110 × 2–4 μm, forming an epithecium, hyaline, smooth, cylindrical, globose and sometimes curved at the tip, nonseptate to rarely septate (1–2 septae), and vacuolated content.","This new species resembled the morphology of L. nitens, another commonly
occurring species from the same geographic regions and host species. They both present dark subcuticular ascocarps without lips. However, the upper walls of their ascocarps are different, as the new species forms an inward V-shaped folding, not present in L.nitens.",,Yes,"ITS, LSU",This study,2018
26,L. pini-sibiricae,Strobus,,subcuticular,absent or inconspicuous,,700-900 x 470-540 um,0.7,0.9,92-137 x 10-12 um,92,137,10,12,75-97 x 2 um,75,92,China,P. sibirica,"Ascocarps born on all sides of pine needles, mostly on the far axis. Bulge. Clypeus does not extend to the basal wall line. Asci cylindrical, pointed top, containing 8 ascospores. Ascopores in a line, enlarged at the top, colorless.",Large amount of thin black lines,N/A,N/A,N/A,Vertical splitting,"When wet, it is black, and when dry, more than 3/4 of the central area is black, the surroundings are gray with unclear borders.",Present,Subcuticular.,Rod,6-9 x 1μm,N/A,Brown to black. Plentiful. close to circular. Puncture opening or irregular splitting.,N/A,"Anhui Agriculture
Department of Forestry, College of Forestry",,"42.5246° N, 87.5396° E",Parasitic on the secondary needles of P. sibirica. Ascopores and conidiomata on the fallen needles.,,Fiber like,,"The ascus is cylindrical, with a slightly pointed tip, containing 8 ascospores, 92–137 x 10-12 micrometers. Ascospores linear, slightly enlarged at the top, colorless, 75-97 x 2 micrometers.",,unknown (NA as of 2016),Hou & Liu. Acta Mycol. Sin 11 (3): 195-197,1992
22,L. anhuiense ,Strobus,,subcuticular,present,red to brown,370-960 x 320-640 um,0.37,0.96,64-85 x 7-12 um,64,85,7,12,53-74 um x 2 um,53,74,China,P. koraiensis,"Ascocarps scattered on the far axis, oval, proturdes. Splits when matured. Clypeus does not extend to the basal wall line. Ascopores 8 in a line, colorless.",large amounts of thin black lines,"dark grey, immature",N/A,N/A,Irregular splitting,More than 3/4 of the center is black with dark gray surrounding. Unclear perimeter line,Present,Directly subcuticular.,Rod shape,5.0 - 8.5 x 1 μm,N/A, Scattered or concentrated. Greyish black. Circular/oval/irregular shaped. Relatively small. Puncture opening or irregular splitting.,N/A,"Department of Forestry, Anhui Academy of Agricultural Sciences",,"30.6007° N, 117.9249° E",Parasitic on the secondary neeles of P. koraiensis. apothecium and condiomata can be found on fallen needles.,,"Fiber like, enlarged top or hooked top.","Similar to L. nitens Darker, difference being its surface is dark grey with black perimeters and presence of lip cells.",,,,Lin & Tang. Acta Mycol. Sin 7 (3): 129-137,1988
15,L. orientale,Strobus,,subepidermal,absent,,350-850 um long,0.35,0.85,60-95 x 9-12 um,60,95,9,12,55-85 x 2 um,55,85,Pakistan,P. excelsa,"inconspicuous ascocarps, grey without a perimeter",absent ,absent,N/A,N/A,epidermal cells,"grey without a perimeter line, inconspicuous",absent,,N/A,N/A,N/A,,No information. ,N/A,,"34.0528° N, 73.4070° E",,,tips straight and unswollen ,,,,,Minter. Mycological Papers 147: 1,1981
8,L. pini-pumilae,Strobus,,subepidermal,lips probably absent,,900-1200 um long,0.9,1.2,67-104 x 7-11 um,67,104,7,11,87-91 x 2 um,87,91,Japan,P. pumila,ascocarps black with a grey surround and black or brownish perimeter line,"absent or black, infrequent",poorly developed,N/A,N/A,opening by a single longitudinal split,black with a grey surround and black or brownish perimeter line,present,subepidermal,N/A,4.5-6.5 x 1 um,N/A,,No information,N/A ,,"36.1700° N, 138.0400° E",,,swollen or unswollen at the apex,"L. pini-pumilae differs from L. orientale in external appearance of the ascocarps, and in having a more developed clypeus and at least some basal wall present. ",,Yes,ITS,Sawada. Bulletin of the Government Forest Experimental Station Meguro 53: 151,1952
23,L. mirabile,Strobus,,subepidermal,present,Light green,470-910 x 270-480 um,0.47,0.91,73-105 x 7-11 um,73,105,7,11,55-87 x 2 um,55,87,China,P. koraiensis,"Most apothecium localize to the far axis and middle and below. often parallel with the vertical axis of the needle. Sometimes connected, slanted or horizontal. Mostly longitudinal splitting when matured, few slanted or triangular. Ascocarp Oval shape with pointed tips. protrudes..
More than 5 epidermal cells scattered at the base of the apothecium. Asci rod shape, top end pointed. Containing 8 colorless ascopores. Parallel or intertwined.",Rare black and thin lines.,"Blackish brown, normal maturity.",N/A,N/A,"Vertical split, sometimes diagonal or triangular split","More than 1/2 of the center is black, rest is dark grey with black perimeter.",present,Subcuticular,Rod shape,5.5-8.5 x 1 μm,N/A,"Greyish black. circular or oval. 110-240 x 100-180 micrometers. one to few openings and irregular splitting.
Conidia colorless.",N/A,"Department of Forestry, Huinong Agricultural College.",United States,"39.2393° N, 106.7812° E","Parasitic on the old secondary needles of P. koraiensis, producing apothecium and conidiomata on the fallen needle",,"Linear, top is often enarlged or hook shaped.","Similar to L. parasiticum, main difference being apothecium in the mid, lower needle are more concentrated. Its size is smaller than 1/2 of L. parasiticum. Zonelines are black and thin.

Similar to L. molitoris, but the epidermal cells above the apothecium often connect with cuticular layer. Clypeus does not extend to the basal wall line. Lip cells are light green. Paraphyses enlarged on the upper half. Spreads one dimension tub bundled pines.",,Yes,ITS,Lin & Tang. Acta Mycol. Sin 7 (3): 129-137,1988
33,L. dilutum,Strobus,,subhypodermal,absent,,"1,000–1,200×400–480 μm",1,1.2,"Asci cylindrici,72–120×8–12 μm",72,120,8,12,"Ascospore filiformes, (50–)72–105×1.5–2 μm",50,105,China,P. armandii,"In median vertical section ascomata subhypodermal,
245–300 μm deep.",absent ,N/A,N/A,Basal stroma absent from ascomata,abaxial,the entire surface of the ascomata paler than the surface of the needle,absent,,,,,,N/A,"BJTC, Capital Normal University",,"24.4753° N, 101.3431° E",,,"90–125×1–1.5 μm, filiform, not branched, aseptate, slightly swollen at the apex",,,Yes,"ITS, ACT, LSU","Luo, Lin, Shi, & Hou. Mycological Progress 9: 235-244",2010
20,L. maximum,Strobus,pathogenic,subhypodermal,absent or inconspicuous,,"1.2-2.5 mm long, 0.7-1.0 mm wide",1.2,2.5,123-145 x 11-16 um,123,145,11,16,110-132 um long x 2 um wide,110,132,China,P. koraiensis,"Ascocarps present on all sides of the needle. Very scattered, rarely in clumps. Grey to greyish black. Larger. Ascospores are positioned in a line, 8 in a roll, parallel, colorless.Clypeus does not extend to basal wall line.
Asci cylindrical",N/A,N/A,N/A,N/A,"Tend to split when matured. Sometimes longitudinal, sometimes diagonal, sometimes triangular and sometimes radial split.",Grey to greyish black.,absent,,N/A,N/A,N/A,,N/A,Fungal Specimen Room of Northeast Forestry University (HNEFC 82030),,"41.9437° N, 122.5290° E","Found on the secondary needles of P. koraiensis in Liaoning, Qingyuan. Causing drop needle disease",,"Straight, some splits at the end.",Similar to L. durilabrum Darker but the color of the Ascocarp is grey rather than black/dark grey. It is completely under they hypodermis rather than partly under the hypodermis.,,,,"He, Yang, & Qi. Acta Mycol. Sin 5 (2): 71-74",1986